location,CVD
Niger,2.58
Equatorial Guinea,2.6
Angola,2.7
Uganda,2.75
Chad,2.81
Democratic Republic of Congo,2.83
Guinea-Bissau,2.83
Ethiopia,2.85
Eritrea,2.85
Mali,2.9
Zambia,2.9
Benin,2.92
Central African Republic,2.93
Burkina Faso,2.95
Nigeria,2.98
South Sudan,2.98
Cameroon,3.02
Somalia,3.04
Burundi,3.07
Rwanda,3.11
Tanzania,3.17
Mozambique,3.18
Cote d'Ivoire,3.25
Guinea,3.3
Gambia,3.34
Madagascar,3.35
Togo,3.39
Kenya,3.42
Congo,3.47
Malawi,3.47
Afghanistan,3.48
Senegal,3.52
Sierra Leone,3.56
Zimbabwe,3.59
Swaziland,3.73
Mauritania,3.77
Yemen,3.77
Tajikistan,3.8
Ghana,3.81
Qatar,3.82
Djibouti,3.87
Pakistan,3.94
Papua New Guinea,3.98
Bhutan,3.99
Gabon,4.05
Sudan,4.05
Namibia,4.08
Bolivia,4.13
Lesotho,4.18
Timor,4.19
Laos,4.24
Cambodia,4.25
Honduras,4.27
Haiti,4.3
Botswana,4.35
India,4.37
United Arab Emirates,4.39
Brunei,4.39
Comoros,4.4
Philippines,4.44
Saudi Arabia,4.45
Nepal,4.46
Guatemala,4.47
Jordan,4.58
Oman,4.64
Kyrgyzstan,4.65
Palestine,4.69
Nicaragua,4.78
Venezuela,4.81
Myanmar,4.94
Uzbekistan,4.94
Belize,5
Kuwait,5.01
Lebanon,5.08
Mongolia,5.19
South Africa,5.21
Ecuador,5.25
Indonesia,5.25
Bangladesh,5.29
Iraq,5.34
Vietnam,5.36
Egypt,5.37
Bahrain,5.39
Peru,5.52
Paraguay,5.53
Syria,5.72
Liberia,5.74
Libya,5.74
Guyana,5.75
Cape Verde,5.81
Dominican Republic,5.82
Colombia,5.84
Mexico,6.03
Iran,6.15
El Salvador,6.22
Kazakhstan,6.27
Panama,6.29
Algeria,6.4
Bahamas,6.5
Fiji,6.57
Sri Lanka,6.63
Azerbaijan,6.65
Brazil,6.7
Costa Rica,6.7
Seychelles,6.85
Singapore,6.91
Suriname,6.95
Malaysia,6.99
Jamaica,7.02
Chile,7.11
Israel,7.19
Morocco,7.29
Tunisia,7.35
Argentina,7.62
Turkey,7.63
Antigua and Barbuda,7.76
China,7.86
South Korea,7.93
Greenland,8.44
Cyprus,8.51
Mauritius,8.53
Australia,8.73
Uruguay,8.84
Thailand,8.88
New Zealand,8.94
Trinidad and Tobago,9.05
Cuba,9.12
Ireland,9.18
Moldova,9.25
Armenia,9.27
Norway,9.39
Iceland,9.58
Puerto Rico,10.36
Russia,10.46
Andorra,10.58
Barbados,10.7
Switzerland,10.83
Georgia,11
Spain,11.06
Ukraine,11.13
Belarus,11.18
Taiwan,11.35
United Kingdom,11.42
Malta,11.57
Portugal,11.74
Montenegro,11.84
Netherlands,11.99
Denmark,12.29
Albania,12.31
United States,12.37
Serbia,12.43
Canada,12.44
Estonia,12.54
Luxembourg,12.73
Greece,12.77
Italy,12.87
Japan,12.88
Austria,12.91
Latvia,12.94
France,12.95
Poland,12.96
Belgium,13.27
Finland,13.28
Sweden,13.33
Romania,13.37
Slovakia,13.38
Lithuania,13.87
Croatia,13.92
Slovenia,14.01
Bosnia and Herzegovina,14.17
Germany,14.21
Hungary,14.63
Czech Republic,16.03
Bulgaria,17.2
Anguilla,
Aruba,
Bermuda,
Bonaire Sint Eustatius and Saba,
British Virgin Islands,
Cayman Islands,
Curacao,
Dominica,8.39
Faeroe Islands,
Falkland Islands,
French Polynesia,
Gibraltar,
Grenada,9.16
Guam,
Guernsey,
Hong Kong,
Isle of Man,
Jersey,
Kosovo,
Liechtenstein,
Macedonia,
Maldives,
Monaco,
Montserrat,
New Caledonia,
Northern Mariana Islands,
Saint Kitts and Nevis,
Saint Lucia,8
Saint Vincent and the Grenadines,8.29
San Marino,
Sao Tome and Principe,
Sint Maarten (Dutch part),
Turks and Caicos Islands,
United States Virgin Islands,9.67
Vatican,
Western Sahara,
